## Mon Jun 14 10:31:56 2021
## emapper-2.1.4-2
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --data_dir /dev/shm/ -o out --output_dir /data/shared/emapper_jobs/user_data/MM_2rpcpd43 --temp_dir /data/shared/emapper_jobs/user_data/MM_2rpcpd43 --override -m diamond -i /data/shared/emapper_jobs/user_data/MM_2rpcpd43/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
tr|A0A4P6X3V3|A0A4P6X3V3_HYDPS	1458427.BAWN01000015_gene963	8.1e-49	199.9	COG0824@1|root,COG0824@2|Bacteria,1MZH6@1224|Proteobacteria,2VUEV@28216|Betaproteobacteria,4AEEQ@80864|Comamonadaceae	28216|Betaproteobacteria	S	PFAM thioesterase superfamily protein	ybgC	-	-	ko:K07107	-	-	-	-	ko00000,ko01000	-	-	-	4HBT
tr|A0A4P6WUW8|A0A4P6WUW8_HYDPS	1100721.ALKO01000017_gene1687	1.5e-66	259.2	COG2863@1|root,COG2863@2|Bacteria,1RC61@1224|Proteobacteria,2VQSA@28216|Betaproteobacteria,4AF6K@80864|Comamonadaceae	28216|Betaproteobacteria	C	Cytochrome c	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C,Cytochrome_CBB3
tr|A0A4P6WYR9|A0A4P6WYR9_HYDPS	1268622.AVS7_04606	7.8e-110	403.7	COG3176@1|root,COG3176@2|Bacteria,1MWIM@1224|Proteobacteria,2VH4B@28216|Betaproteobacteria,4AAW7@80864|Comamonadaceae	28216|Betaproteobacteria	S	Ornithine-acyl acyl carrier protein N-acyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_5
tr|A0A4P6X288|A0A4P6X288_HYDPS	358220.C380_14945	7.6e-90	337.4	COG1463@1|root,COG1463@2|Bacteria,1R565@1224|Proteobacteria,2VK63@28216|Betaproteobacteria,4AA5X@80864|Comamonadaceae	28216|Betaproteobacteria	Q	Mammalian cell entry related domain protein	-	-	-	ko:K02067	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	MlaD
tr|A0A4P6X617|A0A4P6X617_HYDPS	338969.Rfer_0515	3.4e-204	718.4	COG1523@1|root,COG1523@2|Bacteria,1MU19@1224|Proteobacteria,2VH8E@28216|Betaproteobacteria,4AC1I@80864|Comamonadaceae	28216|Betaproteobacteria	G	PFAM glycoside hydrolase, family 13 domain protein	glgX	-	3.2.1.196,3.2.1.68	ko:K01214,ko:K02438	ko00500,ko01100,ko01110,map00500,map01100,map01110	M00565	R02111,R09995,R11261	-	ko00000,ko00001,ko00002,ko01000	-	CBM48,GH13	-	Alpha-amylase,CBM_48
tr|A0A4P6X0U3|A0A4P6X0U3_HYDPS	1100721.ALKO01000003_gene2375	6.3e-235	820.1	COG0508@1|root,COG0508@2|Bacteria,1MU7K@1224|Proteobacteria,2VIHA@28216|Betaproteobacteria,4A9KI@80864|Comamonadaceae	28216|Betaproteobacteria	C	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	aceF	-	1.8.1.4,2.3.1.12	ko:K00382,ko:K00627	ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00036,M00307,M00532	R00209,R01221,R01698,R02569,R03815,R07618,R08549	RC00004,RC00022,RC00583,RC02742,RC02833,RC02834,RC02857	br01601,ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	2-oxoacid_dh,Biotin_lipoyl,E3_binding
tr|A0A4P6WVU6|A0A4P6WVU6_HYDPS	338969.Rfer_4037	3.8e-172	610.9	COG3177@1|root,COG3177@2|Bacteria,1MV69@1224|Proteobacteria,2VIY1@28216|Betaproteobacteria,4AB58@80864|Comamonadaceae	28216|Betaproteobacteria	K	Fic/DOC family N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	Fic,Fic_N
tr|A0A4P6WVZ2|A0A4P6WVZ2_HYDPS	864073.HFRIS_019478	5.7e-190	670.2	COG1073@1|root,COG1073@2|Bacteria,1MXJ3@1224|Proteobacteria,2VX9A@28216|Betaproteobacteria	28216|Betaproteobacteria	S	Prolyl oligopeptidase family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S9
tr|A0A4P6X515|A0A4P6X515_HYDPS	397945.Aave_1180	1e-40	173.3	COG1399@1|root,COG1399@2|Bacteria,1PGKW@1224|Proteobacteria,2VUIG@28216|Betaproteobacteria,4AEE2@80864|Comamonadaceae	28216|Betaproteobacteria	S	Uncharacterized ACR, COG1399	-	-	-	ko:K07040	-	-	-	-	ko00000	-	-	-	DUF177
tr|A0A4P6WUM1|A0A4P6WUM1_HYDPS	243365.CV_1099	1.5e-115	422.5	COG1173@1|root,COG1173@2|Bacteria,1MUG0@1224|Proteobacteria,2VHX8@28216|Betaproteobacteria,2KQIC@206351|Neisseriales	206351|Neisseriales	EP	N-terminal TM domain of oligopeptide transport permease C	dppC	-	-	ko:K12370	ko02010,map02010	M00324	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1,OppC_N
tr|A0A4P6X3E1|A0A4P6X3E1_HYDPS	864051.BurJ1DRAFT_2902	3.8e-139	501.1	COG3181@1|root,COG3181@2|Bacteria,1MXEX@1224|Proteobacteria,2VJTU@28216|Betaproteobacteria,1KJWS@119065|unclassified Burkholderiales	28216|Betaproteobacteria	S	Tripartite tricarboxylate transporter family receptor	-	-	-	ko:K07795	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.80.1	-	-	TctC
tr|A0A4P6X5I3|A0A4P6X5I3_HYDPS	1458275.AZ34_05975	1.1e-90	339.3	COG1403@1|root,COG1403@2|Bacteria,1MWEQ@1224|Proteobacteria,2VKQH@28216|Betaproteobacteria,4AB9G@80864|Comamonadaceae	28216|Betaproteobacteria	L	PFAM HNH endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	HNH_5
tr|A0A4P6X1M2|A0A4P6X1M2_HYDPS	358220.C380_14190	0.0	1203.3	COG0072@1|root,COG0073@1|root,COG0072@2|Bacteria,COG0073@2|Bacteria,1MWKS@1224|Proteobacteria,2VHR1@28216|Betaproteobacteria,4ABP3@80864|Comamonadaceae	28216|Betaproteobacteria	J	Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily	pheT	-	6.1.1.20	ko:K01890	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	B3_4,B5,FDX-ACB,tRNA_bind
tr|A0A4P6X581|A0A4P6X581_HYDPS	1100721.ALKO01000015_gene1094	1.6e-64	251.9	COG0822@1|root,COG0822@2|Bacteria,1RD5K@1224|Proteobacteria,2VQ2I@28216|Betaproteobacteria,4ADIW@80864|Comamonadaceae	28216|Betaproteobacteria	C	A scaffold on which IscS assembles Fe-S clusters. It is likely that Fe-S cluster coordination is flexible as the role of this complex is to build and then hand off Fe-S clusters	iscU	-	-	ko:K04488	-	-	-	-	ko00000	-	-	-	NifU_N
tr|A0A4V1ABQ4|A0A4V1ABQ4_HYDPS	232721.Ajs_2711	2.5e-23	114.4	2DVDD@1|root,331C3@2|Bacteria,1N0W1@1224|Proteobacteria	1224|Proteobacteria	S	Protein of unknown function (DUF2933)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2933
tr|A0A4P6X070|A0A4P6X070_HYDPS	29581.BW37_02466	5e-122	445.3	COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,2VM93@28216|Betaproteobacteria,478DD@75682|Oxalobacteraceae	28216|Betaproteobacteria	NT	Cache domain	-	-	-	ko:K03406,ko:K05875	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	HAMP,MCPsignal,dCache_1
tr|A0A4P6WY06|A0A4P6WY06_HYDPS	296591.Bpro_0173	3.5e-53	214.9	COG0664@1|root,COG0664@2|Bacteria,1N437@1224|Proteobacteria,2VU5S@28216|Betaproteobacteria,4AF2J@80864|Comamonadaceae	28216|Betaproteobacteria	T	Cyclic nucleotide-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	cNMP_binding
tr|A0A4P6WUF2|A0A4P6WUF2_HYDPS	365046.Rta_28940	8.1e-40	170.6	COG3794@1|root,COG3794@2|Bacteria,1RHQU@1224|Proteobacteria,2VUQ8@28216|Betaproteobacteria,4AEUH@80864|Comamonadaceae	28216|Betaproteobacteria	C	PFAM blue (type 1) copper domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6WWC1|A0A4P6WWC1_HYDPS	296591.Bpro_3371	9.1e-136	490.0	COG3181@1|root,COG3181@2|Bacteria,1R81N@1224|Proteobacteria,2VMV6@28216|Betaproteobacteria,4ABW0@80864|Comamonadaceae	28216|Betaproteobacteria	S	Tripartite tricarboxylate transporter family receptor	-	-	-	-	-	-	-	-	-	-	-	-	TctC
tr|A0A4V1AB18|A0A4V1AB18_HYDPS	395495.Lcho_3356	4.6e-174	617.1	COG0346@1|root,COG0346@2|Bacteria,1MUWY@1224|Proteobacteria,2VKV3@28216|Betaproteobacteria,1KKRJ@119065|unclassified Burkholderiales	28216|Betaproteobacteria	E	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	-	-	1.13.11.2	ko:K00446	ko00361,ko00362,ko00622,ko00643,ko01100,ko01120,ko01220,map00361,map00362,map00622,map00643,map01100,map01120,map01220	M00569	R00816,R04089,R05295,R05404,R05406,R07795	RC00387,RC00643,RC01075,RC01364,RC01914	br01602,ko00000,ko00001,ko00002,ko01000	-	-	-	Glyoxalase
tr|A0A4P6X6S1|A0A4P6X6S1_HYDPS	338969.Rfer_2980	6.8e-38	164.1	2BWQ4@1|root,32QZV@2|Bacteria,1MZQ9@1224|Proteobacteria,2VSNR@28216|Betaproteobacteria,4AEB9@80864|Comamonadaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF4124
tr|A0A4P6X208|A0A4P6X208_HYDPS	397945.Aave_4052	7.8e-59	233.0	COG0103@1|root,COG0103@2|Bacteria,1RD4A@1224|Proteobacteria,2VR5R@28216|Betaproteobacteria,4ADIJ@80864|Comamonadaceae	28216|Betaproteobacteria	J	Belongs to the universal ribosomal protein uS9 family	rpsI	-	-	ko:K02996	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S9
tr|A0A4P6WUY3|A0A4P6WUY3_HYDPS	640511.BC1002_4175	3.3e-56	225.7	COG4447@1|root,COG4447@2|Bacteria,1R84R@1224|Proteobacteria,2VMQ1@28216|Betaproteobacteria,1KHB5@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Photosynthesis system II assembly factor YCF48	-	-	-	-	-	-	-	-	-	-	-	-	PSII_BNR
tr|A0A4P6X120|A0A4P6X120_HYDPS	296591.Bpro_1995	1.1e-161	576.2	COG5008@1|root,COG5008@2|Bacteria,1QTTX@1224|Proteobacteria,2VHU7@28216|Betaproteobacteria,4AAT0@80864|Comamonadaceae	28216|Betaproteobacteria	NU	PFAM Type II secretion system protein E	pilT2	-	-	ko:K02670	-	-	-	-	ko00000,ko02035,ko02044	3.A.15.2	-	-	T2SSE
tr|A0A4P6X547|A0A4P6X547_HYDPS	365046.Rta_23080	7.5e-112	410.2	COG3687@1|root,COG3687@2|Bacteria,1R6G1@1224|Proteobacteria,2WFRN@28216|Betaproteobacteria,4ACGX@80864|Comamonadaceae	28216|Betaproteobacteria	S	Predicted metal-dependent hydrolase	-	-	-	ko:K07044	-	-	-	-	ko00000	-	-	-	Metal_hydrol
tr|A0A4P6WUX6|A0A4P6WUX6_HYDPS	1504672.669786461	2.1e-104	385.6	COG0583@1|root,COG0583@2|Bacteria,1MVHT@1224|Proteobacteria,2VHF0@28216|Betaproteobacteria,4AC1A@80864|Comamonadaceae	28216|Betaproteobacteria	K	Transcriptional regulator	nhaR	-	-	ko:K03717	-	-	-	-	ko00000,ko03000	-	-	-	HTH_1,LysR_substrate
tr|A0A4P6X3I3|A0A4P6X3I3_HYDPS	864051.BurJ1DRAFT_2131	1.1e-132	479.6	COG0605@1|root,COG0607@1|root,COG0605@2|Bacteria,COG0607@2|Bacteria,1R4Z3@1224|Proteobacteria,2VN2K@28216|Betaproteobacteria	28216|Betaproteobacteria	P	Superoxide dismutase	-	-	1.15.1.1	ko:K04564	ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016	-	-	-	ko00000,ko00001,ko01000	-	-	-	Rhodanese,Sod_Fe_C
tr|A0A4V1ABZ2|A0A4V1ABZ2_HYDPS	1286631.X805_15280	1.8e-93	349.4	COG0583@1|root,COG0583@2|Bacteria,1MX2A@1224|Proteobacteria,2VMH8@28216|Betaproteobacteria,1KN9F@119065|unclassified Burkholderiales	28216|Betaproteobacteria	K	LysR substrate binding domain	lysR	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
tr|A0A4P6WVP6|A0A4P6WVP6_HYDPS	296591.Bpro_3060	4.4e-77	294.3	COG2518@1|root,COG2518@2|Bacteria,1MXQC@1224|Proteobacteria,2VQ3B@28216|Betaproteobacteria,4AACE@80864|Comamonadaceae	28216|Betaproteobacteria	O	protein-L-isoaspartate O-methyltransferase	pcm	-	2.1.1.77	ko:K00573	-	-	-	-	ko00000,ko01000	-	-	-	PCMT
tr|A0A4P6WY44|A0A4P6WY44_HYDPS	296591.Bpro_2298	1.2e-197	696.0	COG1012@1|root,COG1012@2|Bacteria,1MY2V@1224|Proteobacteria,2VH0W@28216|Betaproteobacteria,4ACYK@80864|Comamonadaceae	28216|Betaproteobacteria	C	Aldehyde dehydrogenase family	-	-	1.2.1.26,1.2.1.4	ko:K13877,ko:K14519	ko00040,ko00053,ko00930,ko01100,ko01120,ko01220,map00040,map00053,map00930,map01100,map01120,map01220	-	R00264,R05099	RC00080	ko00000,ko00001,ko01000	-	-	-	Aldedh
tr|A0A4P6X6X4|A0A4P6X6X4_HYDPS	296591.Bpro_4435	9.2e-44	183.7	29CX4@1|root,2ZZV8@2|Bacteria,1RFY7@1224|Proteobacteria,2VR98@28216|Betaproteobacteria,4AE7P@80864|Comamonadaceae	28216|Betaproteobacteria	S	Domain of unknown function (DUF4390)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4390
tr|A0A4P6X3Q6|A0A4P6X3Q6_HYDPS	614083.AWQR01000028_gene3191	6.2e-112	410.6	COG0008@1|root,COG0008@2|Bacteria,1MUN7@1224|Proteobacteria,2VHYK@28216|Betaproteobacteria,4ABA9@80864|Comamonadaceae	28216|Betaproteobacteria	J	Catalyzes the tRNA-independent activation of glutamate in presence of ATP and the subsequent transfer of glutamate onto a tRNA(Asp). Glutamate is transferred on the 2-amino-5-(4,5- dihydroxy-2-cyclopenten-1-yl) moiety of the queuosine in the wobble position of the QUC anticodon	gluQ	-	-	ko:K01894	-	-	-	-	ko00000,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_1c
tr|A0A4P6WZV8|A0A4P6WZV8_HYDPS	1538295.JY96_21735	2.1e-41	175.6	2CUPU@1|root,32SVS@2|Bacteria,1N6J5@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6X7E1|A0A4P6X7E1_HYDPS	1123255.JHYS01000017_gene1388	2e-41	175.3	COG4273@1|root,COG4273@2|Bacteria,1MZED@1224|Proteobacteria,2VV77@28216|Betaproteobacteria,4AEQ0@80864|Comamonadaceae	28216|Betaproteobacteria	S	DGC domain	-	-	-	-	-	-	-	-	-	-	-	-	DGC
tr|A0A4P6X9A3|A0A4P6X9A3_HYDPS	397945.Aave_3965	3.1e-177	628.2	COG0265@1|root,COG0265@2|Bacteria,1MU63@1224|Proteobacteria,2VI4Q@28216|Betaproteobacteria,4A9SZ@80864|Comamonadaceae	28216|Betaproteobacteria	O	Belongs to the peptidase S1C family	mucD	-	3.4.21.107	ko:K04771	ko01503,ko02020,map01503,map02020	M00728	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03110	-	-	-	PDZ_2,Trypsin_2
tr|A0A4P6WVI4|A0A4P6WVI4_HYDPS	948106.AWZT01000015_gene758	3.5e-97	361.7	COG2423@1|root,COG2423@2|Bacteria,1MWH6@1224|Proteobacteria,2VIRU@28216|Betaproteobacteria,1K2JD@119060|Burkholderiaceae	28216|Betaproteobacteria	E	Ornithine cyclodeaminase/mu-crystallin family	-	-	1.5.1.1,4.3.1.12	ko:K01750,ko:K19743	ko00310,ko00330,ko00960,ko01100,ko01110,ko01130,ko01230,map00310,map00330,map00960,map01100,map01110,map01130,map01230	-	R00671,R01246,R01249,R02201,R02203	RC00135,RC00354	ko00000,ko00001,ko01000	-	-	-	OCD_Mu_crystall
tr|A0A4V1ABD3|A0A4V1ABD3_HYDPS	358220.C380_10210	4.1e-163	580.9	COG1613@1|root,COG1613@2|Bacteria,1MUAU@1224|Proteobacteria,2VIQZ@28216|Betaproteobacteria,4AAD7@80864|Comamonadaceae	28216|Betaproteobacteria	P	TIGRFAM sulfate ABC transporter, periplasmic sulfate-binding protein	sbp	-	-	ko:K02048	ko00920,ko02010,map00920,map02010	M00185	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.6.1,3.A.1.6.3	-	-	SBP_bac_11
tr|A0A4P6WZK2|A0A4P6WZK2_HYDPS	1100721.ALKO01000024_gene455	1.2e-124	452.6	COG1126@1|root,COG1126@2|Bacteria,1MU9Q@1224|Proteobacteria,2VHIC@28216|Betaproteobacteria,4ABJC@80864|Comamonadaceae	28216|Betaproteobacteria	E	PFAM ABC transporter related	aapP	-	3.6.3.21	ko:K02028,ko:K09972	ko02010,map02010	M00232,M00236	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.3,3.A.1.3.17,3.A.1.3.18,3.A.1.3.7,3.A.1.3.8	-	-	ABC_tran
tr|A0A4V1AAY3|A0A4V1AAY3_HYDPS	1100721.ALKO01000032_gene168	1.1e-94	352.8	COG0778@1|root,COG0778@2|Bacteria,1N95W@1224|Proteobacteria,2VQKR@28216|Betaproteobacteria,4AD68@80864|Comamonadaceae	28216|Betaproteobacteria	C	Nitroreductase family	-	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
tr|A0A4P6WVM8|A0A4P6WVM8_HYDPS	358220.C380_15105	1.3e-277	962.2	COG0322@1|root,COG0322@2|Bacteria,1MV38@1224|Proteobacteria,2VIM4@28216|Betaproteobacteria,4ABCV@80864|Comamonadaceae	28216|Betaproteobacteria	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision	uvrC	-	-	ko:K03703	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	GIY-YIG,HHH,HHH_2,HHH_5,UVR,UvrC_HhH_N
tr|A0A4V1ABA3|A0A4V1ABA3_HYDPS	358220.C380_10645	9.5e-136	490.0	COG1752@1|root,COG1752@2|Bacteria,1MU6Z@1224|Proteobacteria,2VHBX@28216|Betaproteobacteria,4AC7Y@80864|Comamonadaceae	28216|Betaproteobacteria	S	Esterase of the alpha-beta hydrolase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Patatin
tr|A0A4P6WXJ2|A0A4P6WXJ2_HYDPS	1458427.BAWN01000011_gene669	0.0	1127.5	COG0021@1|root,COG0021@2|Bacteria,1MUEY@1224|Proteobacteria,2VHNX@28216|Betaproteobacteria,4AB6C@80864|Comamonadaceae	28216|Betaproteobacteria	G	Belongs to the transketolase family	cbbT	-	2.2.1.1	ko:K00615	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167	R01067,R01641,R01830,R06590	RC00032,RC00226,RC00571,RC01560	ko00000,ko00001,ko00002,ko01000	-	-	-	Transket_pyr,Transketolase_C,Transketolase_N
tr|A0A4P6WXS0|A0A4P6WXS0_HYDPS	614083.AWQR01000018_gene1910	6.2e-169	600.5	COG0665@1|root,COG0665@2|Bacteria,1MVGP@1224|Proteobacteria,2VIFN@28216|Betaproteobacteria,4AC96@80864|Comamonadaceae	28216|Betaproteobacteria	E	FAD binding domain	ordL	-	-	ko:K09471	ko00330,ko01100,map00330,map01100	M00136	R07415	RC00062	ko00000,ko00001,ko00002,ko01000	-	-	-	DAO
tr|A0A4P6WXM0|A0A4P6WXM0_HYDPS	1001240.GY21_13825	1.4e-172	612.8	COG0833@1|root,COG0833@2|Bacteria,2I478@201174|Actinobacteria,4FTR7@85023|Microbacteriaceae	201174|Actinobacteria	E	Amino acid permease	-	-	-	-	-	-	-	-	-	-	-	-	AA_permease,AA_permease_2
tr|A0A4P6WW09|A0A4P6WW09_HYDPS	266264.Rmet_1293	5.3e-116	423.7	COG0680@1|root,COG0680@2|Bacteria,1RE1C@1224|Proteobacteria,2VJ4W@28216|Betaproteobacteria,1K25T@119060|Burkholderiaceae	28216|Betaproteobacteria	C	hydrogenase expression formation protein	hoxM	-	-	ko:K03605	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	HycI
tr|A0A4V1ABI6|A0A4V1ABI6_HYDPS	296591.Bpro_2692	1.2e-76	292.7	COG0233@1|root,COG0233@2|Bacteria,1N66T@1224|Proteobacteria,2VIUA@28216|Betaproteobacteria,4ABF3@80864|Comamonadaceae	28216|Betaproteobacteria	J	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another	frr	-	-	ko:K02838	-	-	-	-	ko00000,ko03012	-	-	-	RRF
tr|A0A4P6X0P8|A0A4P6X0P8_HYDPS	1100720.ALKN01000040_gene2307	1.6e-108	399.8	COG0515@1|root,COG4886@1|root,COG0515@2|Bacteria,COG4886@2|Bacteria,1Q94S@1224|Proteobacteria,2VIVY@28216|Betaproteobacteria,4AB3T@80864|Comamonadaceae	28216|Betaproteobacteria	KLT	leucine-rich repeat-containing protein typical subtype	-	-	-	-	-	-	-	-	-	-	-	-	LRR_4,LRR_8,Pkinase,Pkinase_Tyr
tr|A0A4P6X705|A0A4P6X705_HYDPS	84531.JMTZ01000064_gene1862	1.1e-30	140.2	2BWJI@1|root,3434Y@2|Bacteria,1NZ1E@1224|Proteobacteria,1T8B8@1236|Gammaproteobacteria,1XAD3@135614|Xanthomonadales	135614|Xanthomonadales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tr|A0A4P6WWQ6|A0A4P6WWQ6_HYDPS	420662.Mpe_A3735	6.6e-39	166.8	COG4654@1|root,COG4654@2|Bacteria,1N457@1224|Proteobacteria,2VVMH@28216|Betaproteobacteria,1KM1G@119065|unclassified Burkholderiales	28216|Betaproteobacteria	C	Cytochrome c	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C
tr|A0A4P6WWR6|A0A4P6WWR6_HYDPS	1268622.AVS7_00081	2.8e-95	355.1	COG1946@1|root,COG1946@2|Bacteria,1QTZJ@1224|Proteobacteria,2VJX7@28216|Betaproteobacteria,4A9VP@80864|Comamonadaceae	28216|Betaproteobacteria	I	Thioesterase-like superfamily	-	-	-	-	-	-	-	-	-	-	-	-	4HBT_3
tr|A0A4P6WU82|A0A4P6WU82_HYDPS	614083.AWQR01000039_gene1475	2.3e-150	538.5	COG0761@1|root,COG0761@2|Bacteria,1MU7G@1224|Proteobacteria,2VHM8@28216|Betaproteobacteria,4AAMX@80864|Comamonadaceae	28216|Betaproteobacteria	IM	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis	ispH	-	1.17.7.4	ko:K03527	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05884,R08210	RC01137,RC01487	ko00000,ko00001,ko00002,ko01000	-	-	-	LYTB
tr|A0A4P6WY77|A0A4P6WY77_HYDPS	1458427.BAWN01000004_gene159	1.9e-103	382.5	COG1660@1|root,COG1660@2|Bacteria,1MVX6@1224|Proteobacteria,2VIH5@28216|Betaproteobacteria,4AAN0@80864|Comamonadaceae	28216|Betaproteobacteria	S	Displays ATPase and GTPase activities	yhbJ	-	-	ko:K06958	-	-	-	-	ko00000,ko03019	-	-	-	ATP_bind_2
tr|A0A4P6WWH9|A0A4P6WWH9_HYDPS	1265502.KB905946_gene1123	0.0	2261.5	COG5013@1|root,COG5013@2|Bacteria,1MW9S@1224|Proteobacteria,2VJ2F@28216|Betaproteobacteria,4A9MX@80864|Comamonadaceae	28216|Betaproteobacteria	C	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	narG	-	1.7.5.1	ko:K00370,ko:K17050	ko00910,ko01120,ko02020,map00910,map01120,map02020	M00529,M00530,M00804	R00798,R01106,R09497	RC02812	ko00000,ko00001,ko00002,ko01000,ko02000	5.A.3.1,5.A.3.8	-	-	Molybdopterin,Molydop_binding,Nitr_red_alph_N
tr|A0A4P6X6R5|A0A4P6X6R5_HYDPS	1408164.MOLA814_00559	1.9e-103	382.5	COG0697@1|root,COG0697@2|Bacteria,1NEYM@1224|Proteobacteria,2VIII@28216|Betaproteobacteria	28216|Betaproteobacteria	EG	of the drug metabolite transporter (DMT) superfamily	-	-	-	-	-	-	-	-	-	-	-	-	EamA
tr|A0A4P6WWN2|A0A4P6WWN2_HYDPS	1408164.MOLA814_02008	8.3e-41	172.9	COG1006@1|root,COG1006@2|Bacteria,1RH8H@1224|Proteobacteria,2VSVU@28216|Betaproteobacteria,1KQZ1@119066|unclassified Betaproteobacteria	28216|Betaproteobacteria	P	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	mnhC1	-	-	ko:K05560	-	-	-	-	ko00000,ko02000	2.A.63.1	-	-	Oxidored_q2
tr|A0A4P6X1I5|A0A4P6X1I5_HYDPS	1123504.JQKD01000004_gene5037	6.3e-140	503.8	COG4177@1|root,COG4177@2|Bacteria,1MV66@1224|Proteobacteria,2VP62@28216|Betaproteobacteria,4ACU9@80864|Comamonadaceae	1224|Proteobacteria	E	Belongs to the binding-protein-dependent transport system permease family	-	-	-	ko:K01998	ko02010,ko02024,map02010,map02024	M00237	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	-	BPD_transp_2
tr|A0A4P6X2B4|A0A4P6X2B4_HYDPS	1276756.AUEX01000015_gene1995	5.2e-147	527.3	COG1703@1|root,COG1703@2|Bacteria,1MVI0@1224|Proteobacteria,2VIRF@28216|Betaproteobacteria,4AA9Q@80864|Comamonadaceae	28216|Betaproteobacteria	E	LAO AO transport system ATPase	argK	-	-	ko:K07588	-	-	-	-	ko00000,ko01000	-	-	-	ArgK
